frame	x [nm]	y [nm]	z [nm]	uncertainty_xy	uncertainty_z	segment
1	262.0985488691501	49.485934301397826	-565.6226478371304	2.1	2.1	sagittal
1	241.07597605236896	45.175525796635775	-585.4757712093563	2.1	2.1	sagittal
1	253.02704982282594	51.67980928152523	-581.6759871536924	2.1	2.1	sagittal
1	246.99042166508474	56.52586959414957	-569.1009729332031	2.1	2.1	sagittal
1	246.74320214653676	33.08432064746036	-556.6524498132014	2.1	2.1	sagittal
1	230.42156791498772	54.55094250019242	-541.9293802561139	2.1	2.1	sagittal
1	223.2683087570635	44.417186808384564	-531.8454901797891	2.1	2.1	sagittal
1	210.03588895790915	54.65990232198283	-544.8868477841046	2.1	2.1	sagittal
1	233.86870961630967	65.70087341833448	-538.802947012041	2.1	2.1	sagittal
1	222.4013191630726	70.4860816888815	-544.9146066374984	2.1	2.1	sagittal
1	228.97631323892819	94.03306033785181	-530.8810291644145	2.1	2.1	sagittal
1	221.36296834260946	95.46622825074307	-521.8613170048748	2.1	2.1	sagittal
1	241.68788781100073	111.03056497904356	-536.5217679689238	2.1	2.1	sagittal
1	242.72027024861072	120.38869968775455	-519.2223992457776	2.1	2.1	sagittal
1	249.17475552997502	136.4247087651411	-517.9453952739541	2.1	2.1	sagittal
1	264.49375938129725	128.13313132204487	-538.2001708496305	2.1	2.1	sagittal
1	271.71689400385986	119.37807859919299	-547.4753571361953	2.1	2.1	sagittal
1	279.64694260647263	126.24347742601724	-563.714433269462	2.1	2.1	sagittal
1	280.447351744041	138.8215877619381	-564.3586357908072	2.1	2.1	sagittal
1	297.3274666841455	129.38143232431577	-573.1134251709786	2.1	2.1	sagittal
1	282.3520732400115	137.25573226274608	-585.7851680706129	2.1	2.1	sagittal
1	280.76879715101614	130.03633261184356	-565.7931075278127	2.1	2.1	sagittal
1	316.4379806165819	151.8304584748431	-592.1225499286185	2.1	2.1	sagittal
1	329.410679667202	147.84932017415426	-606.9456048791488	2.1	2.1	sagittal
1	297.72325610001826	158.21538996347363	-599.3070690873741	2.1	2.1	sagittal
1	315.17645528348504	126.3833739137555	-614.5189718845229	2.1	2.1	sagittal
1	326.98637167520775	146.4716067015681	-627.5640377856203	2.1	2.1	sagittal
1	335.29304052107494	146.8981503651833	-636.3797667101745	2.1	2.1	sagittal
1	345.0615785204619	160.75610723090338	-635.4083214990204	2.1	2.1	sagittal
1	336.92177874719823	164.64467133849817	-649.8794738393174	2.1	2.1	sagittal
