frame	x [nm]	y [nm]	z [nm]	uncertainty_xy	uncertainty_z
1	0.7129755849124316	0.29601029828145287	-0.11775278748878498	2.1	2.1
1	0.49890068522591824	0.22149456807368548	-0.35463341229322426	2.1	2.1
1	0.5068715711933891	0.252503373197181	-0.347123091065141	2.1	2.1
1	0.5148424571608599	0.28351217832067654	-0.3396127698370577	2.1	2.1
1	0.5228133431283307	0.3145209834441721	-0.3321024486089744	2.1	2.1
1	0.5307842290958016	0.34552978856766764	-0.32459212738089116	2.1	2.1
1	0.5387551150632723	0.37653859369116316	-0.3170818061528079	2.1	2.1
1	0.5467260010307432	0.40754739881465873	-0.3095714849247246	2.1	2.1
1	0.5546968869982141	0.4385562039381542	-0.3020611636966413	2.1	2.1
1	0.5626677729656848	0.4695650090616498	-0.29455084246855806	2.1	2.1
1	0.5706386589331557	0.5005738141851452	-0.28704052124047474	2.1	2.1
1	0.5786095449006265	0.5315826193086408	-0.2795302000123915	2.1	2.1
1	0.5262214697664527	0.02255170396715292	0.0024182762802007545	2.1	2.1
1	0.5433638994175326	0.04670346634135505	-0.007034959967129346	2.1	2.1
1	0.5605063290686125	0.07085522871555718	-0.016488196214459447	2.1	2.1
1	0.5776487587196925	0.0950069910897593	-0.025941432461789548	2.1	2.1
1	0.5947911883707724	0.11915875346396143	-0.03539466870911964	2.1	2.1
1	0.6119336180218523	0.14331051583816354	-0.04484790495644975	2.1	2.1
1	0.6290760476729322	0.16746227821236565	-0.05430114120377984	2.1	2.1
1	0.6462184773240123	0.1916140405865678	-0.06375437745110994	2.1	2.1
1	0.6633609069750922	0.21576580296076994	-0.07320761369844005	2.1	2.1
1	0.6805033366261721	0.23991756533497202	-0.08266084994577015	2.1	2.1
1	0.697645766277252	0.2640693277091742	-0.09211408619310026	2.1	2.1
1	0.714788195928332	0.2882210900833763	-0.10156732244043035	2.1	2.1
1	0.5284503095258716	0.010177670968966894	-0.0050433181401552726	2.1	2.1
1	0.5500504186957893	0.009581367346796963	-0.029419743228197428	2.1	2.1
1	0.5716505278657071	0.008985063724627032	-0.05379616831623958	2.1	2.1
1	0.593250637035625	0.0083887601024571	-0.07817259340428175	2.1	2.1
1	0.6148507462055428	0.007792456480287169	-0.1025490184923239	2.1	2.1
1	0.6364508553754605	0.007196152858117239	-0.12692544358036603	2.1	2.1
1	0.6580509645453784	0.006599849235947308	-0.15130186866840817	2.1	2.1
1	0.6796510737152961	0.006003545613777377	-0.17567829375645036	2.1	2.1
1	0.7012511828852139	0.005407241991607446	-0.20005471884449252	2.1	2.1
1	0.7228512920551318	0.004810938369437514	-0.22443114393253463	2.1	2.1
1	0.7444514012250496	0.004214634747267583	-0.2488075690205768	2.1	2.1
