frame	x [nm]	y [nm]	z [nm]	uncertainty_xy	uncertainty_z	segment
1	215.53626411626084	136.92877094979033	-507.6002976263541	2.1	2.1	basal
1	245.1080532507514	118.88005421695179	-507.6068002774475	2.1	2.1	basal
1	218.91661413235872	71.29107324173681	-539.4396368020257	2.1	2.1	basal
1	227.87866230738393	46.505992864448544	-555.1052504853625	2.1	2.1	basal
1	237.35524123563863	61.91169612983664	-525.2294055951296	2.1	2.1	basal
1	225.09781611528987	48.63498132308869	-538.3277389657743	2.1	2.1	basal
1	224.68256347039636	37.05831102966824	-532.2624067740937	2.1	2.1	basal
1	216.02112106722615	51.84047069846616	-520.3717312695203	2.1	2.1	basal
1	244.47192495806289	48.04283734504885	-528.8479541167135	2.1	2.1	basal
1	233.11972418468892	44.57046190752573	-541.7660620279185	2.1	2.1	basal
1	225.36128190142676	50.22975867141163	-520.1216550558626	2.1	2.1	basal
1	226.1214104323012	58.78946755558067	-549.7574168952489	2.1	2.1	basal
1	225.53560920907393	45.25223668051423	-532.6281234747053	2.1	2.1	basal
1	215.0769403600666	35.440904934485786	-527.0463011588367	2.1	2.1	basal
1	225.47860719294582	55.860556966278665	-526.8979483404934	2.1	2.1	basal
1	209.01094981708042	39.279790779154766	-529.020893766616	2.1	2.1	basal
1	213.36392377556604	52.06772835568	-531.1778183096195	2.1	2.1	basal
1	202.6315782152238	48.38834336880624	-524.7642625974294	2.1	2.1	basal
1	242.9925515863331	50.618316155624655	-527.5923968010604	2.1	2.1	basal
1	229.77256310832698	38.40432734214505	-522.0549152254299	2.1	2.1	basal
1	237.95641739187207	45.444696808971116	-524.0730552850198	2.1	2.1	basal
1	241.1272218293891	46.66875527625237	-515.690178494146	2.1	2.1	basal
1	240.95618772566073	56.187073308070744	-520.7994933245809	2.1	2.1	basal
1	238.2122425280615	46.18899893843404	-517.0123077920381	2.1	2.1	basal
1	225.30972693632822	39.49325005306518	-526.5241597354615	2.1	2.1	basal
1	240.98493122300712	28.850350962005216	-527.8829790975348	2.1	2.1	basal
1	238.79828240237435	20.705955330889598	-531.3936306563592	2.1	2.1	basal
1	246.88056909444148	48.769121958488036	-524.9807461231393	2.1	2.1	basal
1	236.90829947999268	62.569420215817914	-520.4402921948861	2.1	2.1	basal
1	228.706394505231	53.49884769076052	-509.9552908727456	2.1	2.1	basal
1	233.85676997661943	22.708901502061607	-518.2415380487292	2.1	2.1	basal
1	252.49283559383406	39.22569486350742	-509.9820603064761	2.1	2.1	basal
1	238.31015716773882	24.969974458518568	-510.71996255145	2.1	2.1	basal
1	225.33004632703145	42.851861805521736	-521.4284075580065	2.1	2.1	basal
1	237.32912642916867	24.40507981435727	-526.2247801625899	2.1	2.1	basal
1	230.1310050036459	25.76047527303867	-522.5865974597081	2.1	2.1	basal
1	223.64925323607463	48.57578371005715	-513.0707709478612	2.1	2.1	basal
1	216.79980744592075	46.74209941065876	-544.5417269814404	2.1	2.1	basal
1	233.54740322968908	41.46832517879273	-517.4486872859666	2.1	2.1	basal
1	243.8976579080757	36.139494553037856	-497.4236776074285	2.1	2.1	basal
1	234.62801424135947	39.70205129868554	-508.38643838614007	2.1	2.1	basal
1	248.34401076586784	33.050801973137006	-506.5037446416547	2.1	2.1	basal
1	222.33113742527763	44.09463975958199	-522.4690810638594	2.1	2.1	basal
1	217.20567308857792	37.71401845078535	-511.47821611972273	2.1	2.1	basal
1	230.02620263055368	15.315932322647086	-509.9159267366074	2.1	2.1	basal
1	220.2815803527964	36.828048643354165	-515.2542804418835	2.1	2.1	basal
1	240.30143617911583	52.85764962352573	-510.7655827921114	2.1	2.1	basal
1	250.1564095380141	16.254929195975194	-522.2707110157573	2.1	2.1	basal
1	251.79726369052108	9.059717739689354	-513.1752754662982	2.1	2.1	basal
1	238.59306119853005	42.83261400564756	-523.9314467387136	2.1	2.1	basal
1	249.50969148709038	34.8724673203324	-511.2704249717801	2.1	2.1	basal
1	247.5694543867386	33.92796744482641	-496.0435049958706	2.1	2.1	basal
1	250.9723159064477	26.954094416304944	-507.8996790683598	2.1	2.1	basal
1	251.0612887088624	30.702584287705804	-504.8119866348228	2.1	2.1	basal
1	245.5148756000981	27.08971730597784	-489.358559592218	2.1	2.1	basal
1	243.68169305724138	4.435732160825694	-507.84815948862723	2.1	2.1	basal
1	251.39651265797377	26.834420313014004	-496.6517931706271	2.1	2.1	basal
1	259.34502092771226	7.145577186028206	-497.82340355741127	2.1	2.1	basal
1	239.29002345261688	37.27254435062241	-490.76929441502574	2.1	2.1	basal
1	224.75530316946535	14.135231472581822	-508.7057536386294	2.1	2.1	basal
1	249.6720196368431	23.256400374919963	-487.07501529774686	2.1	2.1	basal
1	251.34338358391267	11.55454851239863	-519.3253443615249	2.1	2.1	basal
1	255.22346646369334	19.431609553405167	-495.35733989917713	2.1	2.1	basal
1	236.36754724088468	1.5933137484040856	-505.5429667783361	2.1	2.1	basal
1	231.57132290762235	25.66182479781409	-508.74084886989937	2.1	2.1	basal
1	254.90334009564077	20.008954831518913	-485.3204804499201	2.1	2.1	basal
1	236.99285482826906	21.671954704459583	-509.0150184639877	2.1	2.1	basal
1	244.7735037263367	-2.743328065054005	-496.88171541774267	2.1	2.1	basal
1	265.4081770336737	2.3732223829059915	-486.8272755365709	2.1	2.1	basal
1	262.49294907098783	8.002939151565432	-492.6570534313023	2.1	2.1	basal
1	265.226245187195	15.352963210787971	-482.3830250934028	2.1	2.1	basal
1	253.40345854220055	11.804893834641092	-501.7637160356413	2.1	2.1	basal
1	261.17130635999246	13.306576810954844	-496.1314333249738	2.1	2.1	basal
1	251.79844034836947	7.370634223506908	-487.954160755821	2.1	2.1	basal
1	236.43196314929796	-5.885754884846035	-500.3924298279184	2.1	2.1	basal
1	275.337771655001	14.515403157310669	-479.45669310361944	2.1	2.1	basal
1	259.504493621552	11.257767239327443	-483.6285390990716	2.1	2.1	basal
1	266.2416962410453	-0.7889034916274138	-491.4412010740052	2.1	2.1	basal
1	257.5653004325728	10.450455700264236	-485.0192368099666	2.1	2.1	basal
1	246.69574788378358	16.1186048713486	-474.80181739419027	2.1	2.1	basal
1	247.46555411596478	19.416671568510274	-500.5872796214307	2.1	2.1	basal
1	256.55372161870156	7.133996267796547	-501.0431287742349	2.1	2.1	basal
1	263.5711694813034	29.653162908815368	-460.3188665566879	2.1	2.1	basal
1	265.0015465424464	10.735084140150079	-499.771536754787	2.1	2.1	basal
1	279.5964449908626	-7.419604225661115	-481.203507366237	2.1	2.1	basal
1	262.3727273288209	-4.81433023013317	-485.4863183424509	2.1	2.1	basal
1	252.2579846040302	14.388166014006963	-474.7144223874877	2.1	2.1	basal
1	255.66863005090983	-1.2377339932510072	-486.8756425263127	2.1	2.1	basal
1	259.1606395588738	16.475972977596424	-497.1826398683703	2.1	2.1	basal
1	249.79238310546538	17.329141874837433	-469.0846493904698	2.1	2.1	basal
1	273.0121758453249	11.684235010169873	-473.197609760741	2.1	2.1	basal
1	259.8514256308958	-3.9488679711628105	-479.97350798724614	2.1	2.1	basal
1	259.9308397006165	3.1711782214146917	-475.93959615799685	2.1	2.1	basal
1	266.86937111990375	-2.4707368669537093	-489.3384185979962	2.1	2.1	basal
1	260.194343449194	-0.3250242975965216	-482.27544131002605	2.1	2.1	basal
1	265.9505958007599	-0.967454380869345	-474.91452910059314	2.1	2.1	basal
1	275.0284972465974	-9.806939842867251	-470.6442220015282	2.1	2.1	basal
1	269.7180693538954	15.349218800302438	-500.824165765171	2.1	2.1	basal
1	273.1159592030114	7.031277929457839	-471.06009894027153	2.1	2.1	basal
1	256.28082555881144	11.48775429696072	-476.616693970345	2.1	2.1	basal
1	265.20466381607474	-4.608188275429217	-460.4087849656634	2.1	2.1	basal
1	253.57723058634434	11.680792949651115	-494.24057417068497	2.1	2.1	basal
1	268.2659450910123	5.4046301440311515	-460.28915182892075	2.1	2.1	basal
1	282.9507855528398	17.868229617147044	-476.42219327751275	2.1	2.1	basal
1	274.1749859027457	25.855268919524292	-471.8126457112268	2.1	2.1	basal
1	253.12341903746614	16.341356645375484	-479.14632985695687	2.1	2.1	basal
1	283.1770234913766	26.22017580197071	-472.3469903224141	2.1	2.1	basal
1	270.5089902966072	-2.9155738757504697	-462.2780471223224	2.1	2.1	basal
1	256.67822413418435	-3.288868484241261	-476.44624833276964	2.1	2.1	basal
1	269.87848448725794	16.1172272074401	-455.89199029661404	2.1	2.1	basal
1	260.92928542053346	27.219061568731043	-489.2176307054593	2.1	2.1	basal
1	261.5364187288908	11.422518241071337	-459.5042980912043	2.1	2.1	basal
1	282.22169096106524	20.508108824954295	-449.47306272101815	2.1	2.1	basal
1	278.73947943798856	18.00563312945291	-452.3470922007241	2.1	2.1	basal
1	267.09104899291697	19.52414626867333	-477.9524750081364	2.1	2.1	basal
1	286.82640693448815	1.9811440568591632	-434.5761004721808	2.1	2.1	basal
1	278.9871984226205	20.792315000870886	-450.6084483896206	2.1	2.1	basal
1	299.36627053435063	19.76873389672042	-451.0208051596527	2.1	2.1	basal
1	265.64146127148155	21.597550115219303	-455.6572489474276	2.1	2.1	basal
1	277.1185261269209	33.867764269471834	-452.7764244825158	2.1	2.1	basal
1	264.0366080278328	13.964378003100066	-457.39393542360364	2.1	2.1	basal
1	278.50874216633565	22.13105743867062	-453.4821290728388	2.1	2.1	basal
1	284.2040799025451	15.745568764094088	-440.074703208416	2.1	2.1	basal
1	274.32831548697135	20.90767422499697	-454.5080198655781	2.1	2.1	basal
1	279.9452545797209	21.556881611234854	-466.42767899983346	2.1	2.1	basal
1	269.77366995445254	36.13051699106306	-455.69114326305044	2.1	2.1	basal
1	277.67944698039923	29.695164770041817	-450.9378664742559	2.1	2.1	basal
1	275.8175006917742	31.404695329986875	-456.1546315231188	2.1	2.1	basal
1	283.3479856343602	23.48313420393363	-462.18857853247425	2.1	2.1	basal
1	270.9147975754876	31.985619009609582	-452.50529601858716	2.1	2.1	basal
1	265.6362465861392	21.766922188790353	-467.069499927554	2.1	2.1	basal
1	273.81697071816734	28.112057565178365	-434.3360095365021	2.1	2.1	basal
1	287.8202542960377	29.967450955314092	-441.9619701282403	2.1	2.1	basal
1	287.10968284486415	32.65528405264246	-450.23609619353874	2.1	2.1	basal
1	280.97832154475935	29.180841596929262	-453.4928807867947	2.1	2.1	basal
1	291.11666120568674	28.66347698187372	-447.19164804719213	2.1	2.1	basal
1	271.62205576466306	30.413377235207857	-439.9090671044203	2.1	2.1	basal
1	282.86118163996724	48.99247088063955	-447.1560587953539	2.1	2.1	basal
1	288.1325385815556	31.295107018248526	-438.7819886146954	2.1	2.1	basal
1	258.6025477763575	44.11792265768456	-445.7921026295154	2.1	2.1	basal
1	287.827957858209	30.740386840388556	-429.3511004826848	2.1	2.1	basal
1	296.8780466406378	34.81130221885319	-448.2560483704378	2.1	2.1	basal
1	270.7627977259756	27.361773801870715	-455.3272705657754	2.1	2.1	basal
1	271.9019347042098	42.48612155198664	-444.94385615278287	2.1	2.1	basal
1	299.80103109638145	30.83198871550514	-431.03158282281464	2.1	2.1	basal
1	278.5538354029516	45.85242757544668	-457.0947571176269	2.1	2.1	basal
1	278.6644005625055	46.54792733691289	-424.4255297689217	2.1	2.1	basal
